Month,Year,Date,ETo _mm,Precip_mm,MaxT,MinT,AvgT
6,2009,2009-06-22,5.63,0,24.7,7.8,15.3
6,2009,2009-06-23,5.15,0,19.1,9.1,13.6
6,2009,2009-06-24,2.26,0,16.7,10.9,12.9
6,2009,2009-06-25,4.01,0,19.4,10.9,13.6
6,2009,2009-06-26,4.06,0,17.7,11.2,13.5
6,2009,2009-06-27,5.59,0,24.5,8,15.4
6,2009,2009-06-28,5.1,0,18.7,11.8,15.1
6,2009,2009-06-29,4.7,0,18.3,11.8,14.1
6,2009,2009-06-30,4.72,0,18.3,13,14.8
7,2009,2009-07-01,3.4,0,18.1,12.3,14.2
7,2009,2009-07-02,4.86,0,19.1,11.2,14.4
7,2009,2009-07-03,4.49,0,19.7,11.3,14.6
7,2009,2009-07-04,4.41,0,18.7,11.1,14.7
7,2009,2009-07-05,4.07,0,20.8,11.1,14.7
7,2009,2009-07-06,5.45,0,25.9,7.8,15.9
7,2009,2009-07-07,5.34,0,24,,17.9
7,2009,2009-07-08,5.1,0,24.8,10.9,16.3
7,2009,2009-07-09,5.05,0,23.8,7.8,14.8
7,2009,2009-07-10,5.23,0,25.6,7.7,15
7,2009,2009-07-11,3.74,0,23,9.2,15.2
7,2009,2009-07-12,4.97,0,28.4,11.1,16.8
7,2009,2009-07-13,5.89,0,32.5,8.4,18.1
7,2009,2009-07-14,5.53,0,26.4,11.2,17.2
7,2009,2009-07-15,4.68,0,21.6,11,15
7,2009,2009-07-16,4.9,0,22.9,11.1,15.2
7,2009,2009-07-17,4.59,0,22.7,11.5,14.9
7,2009,2009-07-18,4.9,0,25.8,10.3,16.3
7,2009,2009-07-19,4.78,0,22.6,11.3,14.9
7,2009,2009-07-20,4.41,0,22.8,11.5,15.4
7,2009,2009-07-21,4.67,0,24.4,11.3,15.6
7,2009,2009-07-22,4.88,0,24.8,9.4,15.2
7,2009,2009-07-23,3.83,0,21.4,11.3,14.6
7,2009,2009-07-24,4.14,0,21,11.3,14.9
7,2009,2009-07-25,3.77,0,21.6,11.2,14.3
7,2009,2009-07-26,4.42,0,22.8,10,14
7,2009,2009-07-27,4.43,0,23,10.4,14.8
7,2009,2009-07-28,3.91,0,22.8,11.6,14.9
7,2009,2009-07-29,3.02,0,18.3,12.9,14.8
7,2009,2009-07-30,3.47,0,22.6,13.1,15.7
7,2009,2009-07-31,3.95,0,22,12.5,15.4
8,2009,2009-08-01,3.76,0,20.4,11,14.2
8,2009,2009-08-02,3.96,0,22.6,12.2,15.4
8,2009,2009-08-03,3.97,0,24.4,12.3,16
8,2009,2009-08-04,5.02,0,27.1,12.3,17.5
8,2009,2009-08-05,4.6,0,24.2,10.1,16.2
8,2009,2009-08-06,4.74,0,24.7,13.7,18
8,2009,2009-08-07,4.5,0,24.8,10.5,17.1
8,2009,2009-08-08,4.91,0,24.3,10.5,16.2
8,2009,2009-08-09,5.48,0,32.2,10.6,18.6
8,2009,2009-08-10,4.38,0,18.9,12.7,15.7
8,2009,2009-08-11,3.66,0,19.4,12.5,15
8,2009,2009-08-12,4.59,0,25.3,10.3,16.1
8,2009,2009-08-13,5.14,0,26.4,11.5,18
8,2009,2009-08-14,4.89,0,26.9,10.2,16.8
8,2009,2009-08-15,4.26,0,23.8,10.3,15
8,2009,2009-08-16,3.67,0,21,9.5,14
8,2009,2009-08-17,3.35,0,21,11.7,14.8
8,2009,2009-08-18,2.79,0,18.6,11.9,14.3
8,2009,2009-08-19,2.4,0,17.3,12.6,14.1
8,2009,2009-08-20,3.76,0,19.8,12,15.2
8,2009,2009-08-21,4.32,0,24.4,11.2,15
8,2009,2009-08-22,2.97,0,20.3,11.5,14.4
8,2009,2009-08-23,3.65,0,18.3,12.2,14.7
8,2009,2009-08-24,3.63,0,21.2,11.3,14.5
8,2009,2009-08-25,3.7,0,20.7,11.2,14.2
8,2009,2009-08-26,4.26,0,24.5,10.1,15
8,2009,2009-08-27,5.01,0,35,7.2,18.1
8,2009,2009-08-28,5.09,0,,16.1,25.3
8,2009,2009-08-29,5.04,0,33.4,14.4,22.9
